name,online_order,book_table,rate,votes,location,rest_type,dish_liked,approx_cost(for two people),listed_in(city)
Food And You,Yes,No,3.9,35,BTM,Quick Bites,,350.0,Koramangala 6th Block
Friend's Kitchen,No,No,3.5,10,BTM,Quick Bites,,150.0,Koramangala 6th Block
Desi Wok,No,No,2.7,76,BTM,Quick Bites,"Biryani, Manchow Soup, Naan",500.0,Bannerghatta Road
Frozen Bottle,Yes,No,4.2,182,HSR,Beverage Shop,"Dessert Jar, Berryblast, Cheesecake, Vanilla Ice Cream",400.0,BTM
Casa Piccosa,Yes,Yes,4.1,842,JP Nagar,"Casual Dining, Bar","Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter",1100.0,Bannerghatta Road
Savoury - Sea Shell Restaurant,Yes,No,3.9,468,BTM,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup",700.0,Koramangala 5th Block
Magix's Parattha Roll,Yes,No,3.7,185,BTM,Quick Bites,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",400.0,Koramangala 6th Block
BR Military Hotel,No,No,3.1,6,Indiranagar,Quick Bites,,300.0,MG Road
Sampoorna,Yes,No,3.6,70,JP Nagar,Casual Dining,,600.0,BTM
Khan Saheb Grills and Rolls,Yes,No,4.0,1072,Indiranagar,Quick Bites,"Rolls, Beda Roti, Veggie Roll, Chicken Seekh Roll, Chicken Kalimirch, Kathi Roll, Mutton Kebab Roll",350.0,Indiranagar
Earth Plate Express,Yes,No,3.9,33,JP Nagar,Food Court,,600.0,Bannerghatta Road
The Arabian Nights,Yes,No,2.6,51,BTM,"Takeaway, Delivery",,300.0,Koramangala 4th Block
Nandhanam Restaurant,Yes,No,3.7,7,HSR,Quick Bites,,300.0,HSR
Trippy Paradise,Yes,No,2.6,60,BTM,Cafe,,900.0,BTM
Zaitoon,Yes,Yes,4.1,1547,JP Nagar,Casual Dining,"Hummus Falafel, Gulab Jamun, Shawarma, Bbq Chicken, Mojito, Chicken Biryani, Manchow Soup",1000.0,JP Nagar
The Fatty Bao - Asian Gastro Bar,Yes,No,4.6,3818,Indiranagar,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad",1200.0,Old Airport Road
Body Temple,Yes,No,3.3,12,BTM,Quick Bites,,500.0,Koramangala 5th Block
Sai Abhiruchi,Yes,No,3.7,340,BTM,Casual Dining,"Dum Biryani, Dal Fry, Paneer Biryani",800.0,Koramangala 5th Block
Three Dots & A Dash,No,Yes,4.3,1203,JP Nagar,"Bar, Casual Dining","Cocktails, Pizza, Burgers, Pasta, Coconut Chicken, Mocktails, Nachos",1500.0,BTM
Dum & Oven,No,No,3.7,29,HSR,Casual Dining,,600.0,Koramangala 5th Block
Vidya Cafe,Yes,No,3.2,4,JP Nagar,Quick Bites,,300.0,JP Nagar
Rayalaseema Spice,No,No,3.6,116,Indiranagar,Casual Dining,Chicken Boneless Biryani,650.0,Indiranagar
Lassi Corner,Yes,No,3.5,16,Koramangala 5th Block,Beverage Shop,,150.0,BTM
Roundup Cafe,Yes,Yes,4.2,496,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta",800.0,Koramangala 5th Block
Uno Chicago Bar & Grill,No,Yes,4.2,156,Whitefield,"Bar, Casual Dining","Deep Dish Pizza, Mocktails, Burgers, Onion Rings, Thin Crust Pizza, Chicken Tenders, Pasta",1800.0,Whitefield
Taishty,Yes,No,3.7,66,Whitefield,Quick Bites,Paratha,200.0,Whitefield
Easy Bites,Yes,No,3.9,46,HSR,"Takeaway, Delivery",,300.0,Koramangala 4th Block
The Shawarma Shop,Yes,No,4.1,382,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",250.0,Koramangala 5th Block
Desi Aahar,No,No,,0,BTM,Quick Bites,,400.0,JP Nagar
Sri Krishna Sagar,No,No,3.6,11,BTM,Quick Bites,,200.0,BTM
Forage,No,Yes,4.2,215,Indiranagar,Casual Dining,"Panna Cotta, Pasta, Steak, Lamb Chops, Chocolate Tart, Chocolate Mousse, Fish",1500.0,Old Airport Road
Chillout,Yes,No,,0,BTM,Cafe,,200.0,Koramangala 4th Block
Tandoor Box,Yes,No,3.9,168,Whitefield,Casual Dining,"Rolls, Butter Chicken, Tandoori Momos, Tangdi Kabab, Tandoori Roti, Paratha, Soya Chaap",600.0,Whitefield
Tandoor And Spice,Yes,No,4.0,181,JP Nagar,Casual Dining,"Egg Biryani, Tandoori Chicken, Chicken Biryani, Paneer Tikka, Mutton Biryani, Noodles, Dal Tadka",550.0,Jayanagar
Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,Cafe,"Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries",500.0,BTM
Kitchens@Mahadevpura,Yes,No,3.9,125,Whitefield,Delivery,Prompt Service,600.0,Whitefield
FrostBite,No,No,3.5,15,Koramangala 5th Block,"Dessert Parlor, Quick Bites",,400.0,BTM
Tapri By The Corner,Yes,No,4.1,205,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",250.0,Koramangala 5th Block
Salt Mango Tree,Yes,No,4.3,522,Whitefield,Casual Dining,"Mushroom Soup, Faluda, Paratha, Banana Fritters, Kerala Parotta, Fruit Juices, Murgh Ghee Roast",1000.0,Marathahalli
Biryani Treat,No,No,,0,Indiranagar,"Takeaway, Delivery",,400.0,Old Airport Road
Blends Juice Cafe,No,No,,0,BTM,Quick Bites,,200.0,BTM
The little Kitchen,Yes,No,,0,JP Nagar,Quick Bites,,300.0,Bannerghatta Road
Sattvam,No,No,4.3,357,JP Nagar,Casual Dining,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani",1200.0,JP Nagar
Vinaya Coffee Moments,Yes,No,3.8,46,JP Nagar,Cafe,"Filter Coffee, Pizza, Pasta",450.0,JP Nagar
Rolla Rappa,Yes,No,3.6,176,HSR,Delivery,"Rolls, Tandoori Momos, Soya Chaap, Peri Peri Chicken Roll, Chicken Biryani, Fries, Paneer Roll",400.0,BTM
Kobe Sizzlers,Yes,Yes,4.1,1473,Indiranagar,Casual Dining,"Sizzler Brownie, Ice Tea, Paneer Steak, Sangria, Momos, Pizza, Tomato Soup",1500.0,Indiranagar
Poorvika Restro Cafe,Yes,No,3.7,76,HSR,Casual Dining,Momos,700.0,HSR
Good Bread,No,No,3.6,14,JP Nagar,Bakery,,300.0,BTM
Shri Madhuram,No,No,3.9,371,HSR,Casual Dining,"Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal",400.0,HSR
Falooda Cafe,Yes,No,,0,BTM,Quick Bites,,200.0,BTM
Shagun Sweets & Foods,Yes,No,3.5,221,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji",400.0,JP Nagar
Five Star Chicken,Yes,No,3.9,62,JP Nagar,Quick Bites,Fries,300.0,Bannerghatta Road
Kritunga Restaurant,No,No,3.8,1159,Koramangala 5th Block,Casual Dining,"Bamboo Chicken, Pot Biryani, Brain Fry, Hyderabadi Biryani, Brinjal Curry, Jowar Roti, Mutton Curry",650.0,BTM
Cafesta,Yes,No,4.3,590,Whitefield,Cafe,"Burgers, Waffles, Chocolava, Coffee, Pasta, Chocolate Cake, Brownie",550.0,Whitefield
Hang10 Resto N Cafe,Yes,No,3.7,101,BTM,Cafe,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich",700.0,Koramangala 5th Block
Om Sai Baba Mess,Yes,No,3.1,11,HSR,Mess,,250.0,BTM
Gud Dhani,Yes,No,4.0,830,BTM,Casual Dining,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",500.0,Koramangala 5th Block
Homemade Food,Yes,No,3.8,24,Indiranagar,Takeaway,,200.0,Brigade Road
Big Mishra Pedha,No,No,3.7,61,BTM,Sweet Shop,Rasmalai,250.0,Koramangala 5th Block
New Udupi Dharshini,No,No,,0,BTM,Quick Bites,,150.0,Koramangala 5th Block
Sree Bangalore Bhavan,Yes,No,3.7,44,HSR,Quick Bites,,400.0,HSR
Tipsy Bull - The Bar Exchange,No,Yes,4.4,2993,Indiranagar,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Pizza, Mocktails, Biryani, Sangria, Chicken Dim Sum",1400.0,Indiranagar
Barbeque Nation,No,Yes,4.7,3855,JP Nagar,Casual Dining,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta",1600.0,JP Nagar
SS Hot Dhum Briyani Point,No,No,,0,BTM,Quick Bites,,200.0,BTM
Pulp Juice Bar,Yes,No,3.6,16,HSR,Beverage Shop,,150.0,Koramangala 4th Block
Nawab-E-Khana,No,No,3.1,6,Whitefield,Quick Bites,,500.0,Brookefield
Calvin's,No,No,2.9,231,JP Nagar,Dessert Parlor,"Pasta, Sandwiches, Club Sandwich, Cottage Cheese Steak, Waffles, Chicken Lasagne, Chicken Burger",800.0,Bannerghatta Road
Mecaf Family Restaurant,Yes,No,3.9,214,BTM,Casual Dining,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry",600.0,Koramangala 6th Block
Just Sandwiches,Yes,No,3.6,10,BTM,Quick Bites,,100.0,Basavanagudi
Whitefield Baking Company - Bengaluru Marriott Hotel...,No,No,3.9,57,Whitefield,"Bakery, Cafe","Coffee, Opera Pastry, Masala Tea",400.0,Brookefield
Adyar Ananda Bhavan - Sweets,Yes,No,3.4,7,BTM,"Takeaway, Delivery",,200.0,Koramangala 5th Block
Tandoor Chai House,Yes,No,3.5,7,JP Nagar,Quick Bites,,200.0,JP Nagar
Teashot,No,No,2.9,24,Whitefield,Cafe,,150.0,Brookefield
Desi Adda,No,No,3.3,22,BTM,Quick Bites,,300.0,Koramangala 7th Block
Rayalaseema Abhiruchulu,No,No,,0,BTM,Quick Bites,,250.0,BTM
Miss Momo,Yes,No,3.2,13,BTM,Quick Bites,,250.0,Koramangala 5th Block
Mealsbaba,Yes,No,3.7,57,HSR,"Takeaway, Delivery","Lassi, Mutton",400.0,BTM
Om Made Cafe,No,No,4.1,2737,Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti",1300.0,Koramangala 7th Block
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,,0,JP Nagar,Delivery,,500.0,JP Nagar
Maa Durga Restaurant,Yes,No,3.2,4,Whitefield,Quick Bites,,300.0,Marathahalli
Karama Restaurant,Yes,No,3.8,11,BTM,"Takeaway, Delivery",,400.0,Koramangala 7th Block
Nutrition on Wheels,No,No,2.9,23,BTM,"Takeaway, Delivery",,300.0,Koramangala 6th Block
New Nandan Family Restaurant,No,No,,0,JP Nagar,Casual Dining,,450.0,Bannerghatta Road
Kulfi & More,Yes,No,3.7,47,BTM,Dessert Parlor,"Faluda, Rabri, Malai Kulfi",200.0,Koramangala 4th Block
The Biriyani Pedia,Yes,No,3.9,56,BTM,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",300.0,BTM
Sri Venkateswara Andra Mess,No,No,,0,BTM,Quick Bites,,120.0,Koramangala 7th Block
Hotel Reddy Bhavan,Yes,No,3.4,11,HSR,Quick Bites,,300.0,HSR
Sri Durga Cane Fresh,No,No,3.4,5,BTM,Beverage Shop,,100.0,Koramangala 7th Block
Cheesecake Alley,No,No,3.1,8,HSR,Bakery,,400.0,HSR
Sunny Cafe & Kitchen,Yes,Yes,3.8,499,HSR,"Cafe, Casual Dining","Latte, Sandwich, Pizza, Falafel, Pasta, Choco Brownie Shake, Waffles",700.0,HSR
Cake N Cookies,No,No,,0,JP Nagar,Bakery,,350.0,JP Nagar
Prasiddhi Food Corner,Yes,No,3.7,170,JP Nagar,Quick Bites,Coffee,200.0,Bannerghatta Road
Mongolian Kitchen,No,No,3.8,30,BTM,Quick Bites,,500.0,BTM
Mamagoto,Yes,Yes,4.4,2558,Indiranagar,Casual Dining,"Noodles, Cocktails, Spicy Chicken Bangkok Bowl, Tempura Prawns, Pad Thai, Dumplings, Khao Suey",1600.0,Indiranagar
Grillopia,Yes,No,3.9,97,BTM,Quick Bites,"Burgers, Wood Fire Pizza, Nachos",1000.0,Koramangala 7th Block
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,"Waffles, Pancakes, Oreo Waffle",400.0,Koramangala 4th Block
Vegtaurant,Yes,No,3.7,88,Whitefield,Quick Bites,Paratha,300.0,Brookefield
Southindies,No,Yes,4.1,1224,Indiranagar,Casual Dining,"Pongal, Appam, Elaneer Payasam, Gulab Jamun, Rava Idli, Veg Buffet, Lunch Buffet",800.0,Indiranagar
Karachi Bakery,Yes,No,3.4,7,Koramangala 5th Block,Bakery,,400.0,Koramangala 5th Block
Lounge 189,No,No,3.8,158,HSR,"Lounge, Bar","Cocktails, Watermelon Mojito, Orange Mojito, Steak, Fish, Long Island Iced Tea, Sauteed Vegetables",1300.0,Koramangala 7th Block
TangyLicious,Yes,No,2.6,16,BTM,"Takeaway, Delivery",,400.0,BTM
Nandhini Paradise,No,No,3.8,915,JP Nagar,Casual Dining,"Ghee Rice, Hyderabadi Biryani, Butter Naan, Chicken Guntur, Thali",600.0,Bannerghatta Road
Crawl Street,Yes,Yes,4.3,2577,Koramangala 5th Block,Bar,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Mocktails, Paneer Tikka Masala, Pizza",1200.0,Koramangala 6th Block
Tasty Jigarthanda,Yes,No,3.4,12,BTM,Beverage Shop,,150.0,Koramangala 7th Block
Ganesh Restaurant,Yes,No,3.7,51,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 6th Block
Side Street Kitchen,No,No,,0,Koramangala 5th Block,Quick Bites,,400.0,Koramangala 7th Block
Ice Creamist,Yes,No,,0,Indiranagar,Takeaway,,300.0,Old Airport Road
Shanthi Sagar,Yes,No,3.6,519,JP Nagar,Casual Dining,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer",400.0,BTM
Mama Mia!,Yes,No,4.3,428,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes",400.0,MG Road
Annabell,Yes,No,4.0,268,Indiranagar,"Quick Bites, Beverage Shop","Burgers, Sandwiches, Pizza, Beef Burger, French Fries, Chicken Bbq Burger, Lamb Burger",800.0,MG Road
Woodee Pizza,Yes,No,2.7,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes",500.0,Bannerghatta Road
Thalassery Restaurant,Yes,No,3.6,383,Koramangala 5th Block,Casual Dining,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food",600.0,Koramangala 7th Block
Punjabites,Yes,No,3.7,23,BTM,"Takeaway, Delivery",,400.0,Jayanagar
Mast Kalandar,No,No,2.3,176,JP Nagar,Casual Dining,"Raita, Thali, Paratha, Chole, Buttermilk, Paneer Bhurji, Rice",450.0,Jayanagar
Donne Biriyani Mane,No,No,,0,JP Nagar,Quick Bites,,250.0,JP Nagar
Swad Punjab Da,Yes,No,4.1,130,BTM,Quick Bites,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",150.0,JP Nagar
Bathinda Junction,Yes,No,3.9,362,BTM,Casual Dining,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",600.0,Bannerghatta Road
Goodness! Beverages,No,No,,0,HSR,Delivery,,250.0,HSR
Give Me 5 Cafe,No,No,3.4,90,Indiranagar,Cafe,"Pasta, Sandwiches, Ginger Tea, Salad, Sandwich",500.0,Indiranagar
Dash In,No,No,3.1,53,BTM,Casual Dining,"Butter Chicken, Noodles",600.0,BTM
Meghana Foods,Yes,No,4.4,7210,Koramangala 5th Block,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food",600.0,BTM
Rayalaseema Ruchulu,Yes,No,,0,BTM,Casual Dining,,700.0,Jayanagar
Cake N Cookies,No,No,,0,JP Nagar,Bakery,,350.0,Jayanagar
Tarlette,No,No,,0,HSR,Bakery,,560.0,HSR
Awesome Foods,Yes,No,3.7,27,BTM,Quick Bites,,300.0,Koramangala 6th Block
Fava Bistro,Yes,Yes,4.4,387,Koramangala 5th Block,"Casual Dining, Bar","Pizza, Pita Bread, Beer Cocktail, Baklava, Shrimp Soup, Pasta, Babaganush",1500.0,Koramangala 7th Block
House Stark Cafe,Yes,No,3.9,46,HSR,Cafe,Fries,300.0,Koramangala 6th Block
Subway,Yes,No,3.7,219,Koramangala 5th Block,"Quick Bites, Food Court","Salads, Chicken Tikka, Veg Shammi, Teriyaki Chicken, Sandwich, Veggie Delight, Aloo Patty",600.0,Koramangala 6th Block
On The Go,No,No,,0,Whitefield,Quick Bites,,400.0,Whitefield
BabaYaga's,No,Yes,4.0,241,Indiranagar,"Bar, Casual Dining","Masala Fries, Cocktails, Chicken Wings, Beer, Onion Rings, Pizza, Nachos",1500.0,MG Road
Kalingas,Yes,No,3.9,181,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali",250.0,Jayanagar
The Cake Lair,Yes,No,3.4,10,BTM,Quick Bites,,600.0,Koramangala 6th Block
Malabar Xpress,Yes,No,,0,Koramangala 5th Block,Quick Bites,,300.0,BTM
Bakers Town,Yes,No,3.6,42,BTM,Cafe,"Fries, Pasta, Sandwich, Burgers, Chicken Burger, Monster Burger",600.0,Koramangala 5th Block
Popat,Yes,No,3.2,41,Indiranagar,Quick Bites,,300.0,Brigade Road
Suvaai Restaurant,Yes,No,3.3,11,Indiranagar,Quick Bites,,100.0,Old Airport Road
Kolkata Rolls & Hot Dum Biriyani On Dial,Yes,No,3.5,22,Indiranagar,Quick Bites,,400.0,Indiranagar
Belly Doze,No,No,,0,Indiranagar,Delivery,,600.0,Old Airport Road
Artinci Artisanal Ice Cream,Yes,No,4.0,58,Whitefield,Dessert Parlor,"Vanilla Ice Cream, Hot Chocolate Fudge, Chocolate Icecreams",300.0,Brookefield
Maa'r Rannaghor,Yes,No,3.8,22,JP Nagar,Quick Bites,,400.0,JP Nagar
Caramel Shake,Yes,No,,0,BTM,Beverage Shop,,200.0,Koramangala 6th Block
Choo Zi,No,No,,0,Koramangala 5th Block,Delivery,,300.0,Koramangala 4th Block
Kapoor's Cafe,No,No,4.0,917,HSR,Casual Dining,"Paratha, Lassi, Chaach, Matar Pulao, Buttermilk, Saag, Chole",800.0,HSR
Rivayat,Yes,Yes,3.9,487,Whitefield,Casual Dining,"Naan, Tandoori Roti, Chicken Biryani, Dal Makhani, Shahi Paneer, Dum Biryani, Paneer Tikka",800.0,Whitefield
Pasta Street,Yes,Yes,4.5,1614,Indiranagar,Casual Dining,"Pasta, Pizza, Garlic Bread, Ravioli, Orange Mojito, Chicken Calzone, Mocktails",1300.0,Indiranagar
New Prashanth Hotel,Yes,No,3.1,53,HSR,Casual Dining,,750.0,HSR
Indian Paratha Factory,Yes,No,2.9,24,BTM,Quick Bites,,250.0,Koramangala 4th Block
Bonum cibum,Yes,No,4.5,217,HSR,Casual Dining,"Salads, Pasta, Shawarma, Mocktails, Falafel, Babaganush, Pizza",1200.0,Koramangala 4th Block
Cheezy Subs & Sandwiches,No,No,,0,Whitefield,Delivery,,350.0,Whitefield
Darjeeling Hot Momos,No,No,,0,Koramangala 5th Block,Quick Bites,,300.0,BTM
Crazy Crush - Juices & Desserts Cafe,Yes,No,3.5,11,Whitefield,Beverage Shop,,300.0,Whitefield
Dadi's Dum Biryani,Yes,Yes,4.1,2727,BTM,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab",800.0,Jayanagar
Laddoos,Yes,No,3.4,277,BTM,"Quick Bites, Dessert Parlor","Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa",250.0,JP Nagar
Ooh La La,Yes,No,3.6,15,Whitefield,Delivery,,500.0,Brookefield
Shake The Shake,Yes,No,,0,Whitefield,Beverage Shop,,200.0,Whitefield
ABC Grand,Yes,No,3.5,54,Indiranagar,Casual Dining,Biryani,700.0,Indiranagar
Blend - Royal Orchid Suites,No,No,3.4,16,Whitefield,Casual Dining,,1300.0,Whitefield
Inhouse Burger,No,No,,0,Whitefield,Quick Bites,,500.0,Brookefield
The Marash,Yes,No,4.3,68,Koramangala 5th Block,Dessert Parlor,"Turkish Ice Cream, Baklava, Chocolate Icecreams",250.0,Koramangala 6th Block
90's Cafe,No,No,,0,JP Nagar,Quick Bites,,500.0,JP Nagar
Cafe Medley,Yes,No,4.2,1059,Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza",800.0,BTM
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries",700.0,BTM
Food And You,No,No,3.8,89,Koramangala 5th Block,Quick Bites,"Thali, Thepla, Gulab Jamun, Masala Lassi, Rice, Gujarati Food, Roti",300.0,Koramangala 7th Block
Bombay Kulfis,Yes,No,3.9,27,Koramangala 5th Block,Dessert Parlor,,200.0,Koramangala 6th Block
Indiana Burgers,Yes,No,3.3,17,HSR,Delivery,,300.0,HSR
The Kim Chi Chef,Yes,No,4.0,210,Whitefield,Casual Dining,"Noodle, Momos, Manchow Soup",900.0,Whitefield
Ambur Hot Dum Biryani,No,No,3.5,21,BTM,Quick Bites,,200.0,Koramangala 6th Block
The Cuboidal,Yes,No,3.6,16,BTM,Quick Bites,,300.0,BTM
Drava,No,Yes,4.4,118,Koramangala 5th Block,Lounge,"Cocktails, Veg Burger, Tikka, Beer, Pizza, Burgers, Spaghetti Aglio Olio",1500.0,Koramangala 7th Block
Malabar Bay,Yes,Yes,4.1,1541,BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta",800.0,BTM
Bite Me Cupcakes,Yes,No,4.2,624,Indiranagar,Dessert Parlor,"Cup Cake, Gooey Chocolate Cupcake, Tiramisu, Choco Cake",300.0,Indiranagar
Tawa Ghar Ka,Yes,No,3.8,331,HSR,Quick Bites,"Mushroom Masala, Thali, Aloo Paratha, Roti, Samosa, Panneer Butter Masala",350.0,BTM
Bisimillah Biriyani's & Kebab's,No,No,3.3,6,BTM,Quick Bites,,300.0,Koramangala 6th Block
Cafe Palmyra,No,Yes,4.2,500,Whitefield,"Casual Dining, Cafe","Club Sandwich, Pork Chops, Sunday Brunch, Burgers, Fish Fingers, Pizza, Chicken Tikka",2000.0,Brookefield
Asia Kitchen By Mainland China,Yes,Yes,4.9,2249,Koramangala 5th Block,"Casual Dining, Bar","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup",1500.0,Koramangala 6th Block
Karavali Grand,Yes,No,3.7,26,Koramangala 5th Block,Casual Dining,,600.0,Koramangala 4th Block
Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,,300.0,Old Airport Road
Beer Adda,Yes,Yes,4.3,551,Koramangala 5th Block,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza",1000.0,Koramangala 7th Block
Meeraa's Beegara Oota,Yes,No,3.8,258,HSR,Casual Dining,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry",550.0,HSR
Chawla's 2 Online.com,Yes,No,,0,HSR,Delivery,,800.0,HSR
Sri Vishnu Park,Yes,No,3.8,99,BTM,Casual Dining,Masala Dosa,350.0,Jayanagar
Little Italy,Yes,Yes,4.3,3275,Indiranagar,Casual Dining,"Pasta, Caesar Salad, Wood Fire Pizza, Chocolate Bomb, Ravioli, Cocktails, Mocktails",1400.0,Indiranagar
Tandoori,Yes,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 5th Block
Paani Kum Chai,Yes,No,4.0,25,JP Nagar,Beverage Shop,,200.0,BTM
New Limra Hotel,No,No,3.3,5,BTM,Quick Bites,,200.0,Koramangala 7th Block
Cafe Soy,Yes,No,3.8,48,Indiranagar,"Takeaway, Delivery",,250.0,Old Airport Road
Firangi Bake,Yes,No,4.1,95,BTM,Delivery,"Lasagne, Subz-e-royal Pot Rice",600.0,Koramangala 4th Block
Meat And Eat,No,No,3.4,5,Whitefield,Quick Bites,,500.0,Brookefield
Chaatimes,Yes,No,3.4,47,BTM,Quick Bites,"Chaat, Dabeli, Panipuri",200.0,Koramangala 7th Block
BANGALORE BOX,Yes,Yes,4.1,612,BTM,"Casual Dining, Bar","Biryani, Chicken Bbq Wings, Mocktails, Sangria, Cocktails, Burgers, Pasta",1500.0,Bannerghatta Road
Malnad Military Hotel,No,No,,0,BTM,Quick Bites,,350.0,Koramangala 4th Block
Jose's Mess,No,No,4.3,317,BTM,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry",300.0,Koramangala 6th Block
Ruh's Cafe,Yes,No,4.1,465,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500.0,Koramangala 6th Block
Tummy Delight,No,No,3.5,16,BTM,Quick Bites,,400.0,Koramangala 4th Block
Cafe Madhura,Yes,No,3.8,59,HSR,Quick Bites,"Idli, Coffee, Vada",200.0,HSR
Pancuzzi,Yes,No,4.2,170,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake",600.0,JP Nagar
Amontron,Yes,No,3.9,439,BTM,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",650.0,Jayanagar
Kaka-T-Cafe,No,No,4.0,60,HSR,Quick Bites,"Chicken Burger, Rolls, Tea, Fries, Kathi Roll, Sandwich, Mango Juice",400.0,HSR
Pappu Chaiwalla,Yes,No,3.1,89,BTM,Quick Bites,"Ginger Chai, Ginger Tea, Pakoda, Paratha, Maggi, Pav Bhaji, Sulemani Chai",350.0,Jayanagar
Hotel Bhuvaneshwari,No,No,,0,Whitefield,Quick Bites,,350.0,Whitefield
Noodle Panda,Yes,No,4.3,345,Koramangala 5th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums",800.0,Koramangala 7th Block
Momos Corner,No,No,3.3,6,HSR,Quick Bites,,250.0,HSR
UBQ by Barbeque Nation,Yes,No,3.6,17,Whitefield,Delivery,,450.0,Whitefield
The Chef Restaurant,No,No,,0,BTM,Casual Dining,,600.0,JP Nagar
Dhe Chef Cafe,No,No,,0,BTM,Quick Bites,,200.0,Bannerghatta Road
HOTEL VKM,Yes,No,,0,BTM,Quick Bites,,300.0,Koramangala 5th Block
Nellore Abhiruchi,Yes,No,3.3,7,HSR,Quick Bites,,300.0,HSR
